model,fold,cv_score,timestamp
gbr,0,-6153.219259977213,2025-12-01 14:44:13
gbr,1,-7146.900253945437,2025-12-01 14:44:13
gbr,2,-5695.498725967787,2025-12-01 14:44:13
gbr,0,-6153.219259977213,2025-12-01 15:00:54
gbr,1,-7146.900253945437,2025-12-01 15:00:54
gbr,2,-5695.498725967787,2025-12-01 15:00:54
gbr,0,-6153.219259977213,2025-12-01 15:06:45
gbr,1,-7146.900253945437,2025-12-01 15:06:45
gbr,2,-5695.498725967787,2025-12-01 15:06:45
gbr,0,-6153.219259977213,2025-12-01 15:19:36
gbr,1,-7146.900253945437,2025-12-01 15:19:36
gbr,2,-5695.498725967787,2025-12-01 15:19:36
gbr,0,-4259.811131548794,2025-12-01 17:06:16
gbr,1,-4346.220899636158,2025-12-01 17:06:16
gbr,2,-4326.71897981354,2025-12-01 17:06:16
gbr,0,-6664.906287770762,2025-12-01 21:57:50
gbr,1,-6667.330651066166,2025-12-01 21:57:50
gbr,2,-5426.390885814178,2025-12-01 21:57:50
