feature,importance,rank
num__odometer,0.19884086299869644,1
num__log_odometer,0.11807031676843922,2
num__age2,0.1126680202779139,3
num__year,0.08568403970453799,4
cat__drive_fwd,0.06851688308545663,5
num__manufacturer_price_mean,0.0488376672263842,6
num__age,0.04711188817078013,7
cat__drive_4wd,0.03480987174186176,8
num__age_odo_per_year,0.03449893766771328,9
num__odo_per_year,0.02931255156309174,10
cat__fuel_diesel,0.014850965388729704,11
cat__type_truck,0.014682717757996438,12
cat__model_cj7,0.012326702630241493,13
cat__model_super,0.011958759385306751,14
cat__model_Express,0.01122326750440804,15
cat__fuel_gas,0.011109427942083024,16
cat__manufacturer_cadillac,0.006088075860644001,17
cat__transmission_automatic,0.005004365407597975,18
cat__drive_,0.004683457565796966,19
cat__manufacturer_ferrari,0.0042990291447031195,20
cat__model_econoline,0.003703960810896998,21
cat__type_coupe,0.0036358334472355344,22
cat__model_s,0.0034967563877546974,23
cat__condition_good,0.0034619549230517233,24
cat__model_360,0.0034568667167522034,25
cat__manufacturer_nissan,0.0033793094726716167,26
cat__model_Trax,0.0032050547493807837,27
cat__type_other,0.0028946208873295593,28
cat__type_pickup,0.002652578586001434,29
cat__model_escalade,0.0024473076178296773,30
cat__type_sedan,0.002363727986419055,31
cat__model_cherokee,0.0023472023686516713,32
cat__model_4runner,0.0023453643935230895,33
cat__condition_excellent,0.0023103789587465523,34
cat__model_4500,0.002215662929046728,35
cat__title_status_clean,0.0021889724618527886,36
cat__drive_rwd,0.002086514167753062,37
cat__model_Corvette,0.001977714643779914,38
cat__model_cc4500,0.0018739305236800815,39
cat__model_Sierra,0.0018029376521116866,40
cat__model_focus,0.0017666996615859618,41
cat__transmission_other,0.0017592952865638813,42
cat__manufacturer_lexus,0.0016953121007007089,43
cat__model_renegade,0.00168513970794001,44
cat__model_e,0.001677654486076294,45
cat__fuel_other,0.0016433887636662424,46
cat__model_lx,0.0015487992042242278,47
cat__type_,0.001503700377042442,48
cat__model_Yukon,0.0014979920842287749,49
cat__type_suv,0.0014722525365633361,50
cat__model_f150,0.0014304393556987163,51
cat__condition_,0.0014124810753538583,52
cat__manufacturer_gmc,0.0014082055312018699,53
cat__manufacturer_bmw,0.0013985218617003107,54
cat__model_outlander,0.0013737630616078706,55
cat__model_explorer,0.0013519033272620536,56
cat__model_c,0.0013142740782584382,57
cat__model_grand,0.0012883004862102808,58
cat__model_murano,0.0012230178328473127,59
cat__transmission_manual,0.0012170701861905257,60
cat__manufacturer_ford,0.0011601439851940934,61
cat__type_hatchback,0.0011500163946161323,62
cat__model_tundra,0.001126353576171938,63
cat__model_gx,0.0011067296737637953,64
cat__model_Savana,0.001029132061357265,65
cat__model_f250,0.0010169772949320352,66
cat__model_s60,0.0009858895989417436,67
cat__model_Tahoe,0.000979032678309989,68
cat__condition_fair,0.0009621916124378977,69
cat__model_m,0.0009404209829378967,70
cat__model_1500,0.0009009235767518445,71
cat__manufacturer_mitsubishi,0.0008702328031127982,72
cat__model_f550,0.0008463432702243366,73
cat__model_X6,0.0008321920396708838,74
cat__model_charger,0.0008257827382800688,75
cat__model_Blazer,0.0008158949613905654,76
cat__manufacturer_mercedes-benz,0.0007301260949644127,77
cat__model_f-series,0.0007284725953633174,78
cat__manufacturer_chevrolet,0.000709473435052001,79
cat__manufacturer_toyota,0.0007082497676121608,80
cat__title_status_rebuilt,0.0006544358764251705,81
cat__model_f350,0.0005868656531389121,82
cat__model_transit,0.0005325080206254106,83
cat__manufacturer_ram,0.0005161591651323921,84
cat__model_crown victoria,0.0004965013347149807,85
cat__type_van,0.00048519729040780526,86
cat__model_5 Series,0.0004752144699074259,87
cat__model_Camaro,0.00046839110121029575,88
cat__model_Colorado,0.00045502770444561875,89
cat__manufacturer_dodge,0.0004345330298017262,90
cat__condition_like new,0.0004151368506006302,91
cat__model_fj,0.00041237727705483086,92
cat__model_Silverado,0.00039805143035072897,93
cat__model_highlander,0.0003964010537826588,94
cat__model_town,0.00039352783178396057,95
cat__model_t,0.0003930906407543497,96
cat__model_wrangler,0.00038769551021952523,97
cat__model_tacoma,0.00038764153033451934,98
cat__model_2500,0.0003867420191129358,99
cat__model_ls,0.0003572779097469042,100
cat__model_pathfinder,0.0003537133275505517,101
cat__model_versa,0.0003109550238950231,102
cat__manufacturer_alfa-romeo,0.0003065729691475154,103
cat__model_tlx,0.0002982412669779776,104
cat__model_rx,0.0002979069275377355,105
cat__model_fiesta,0.00028848142120911847,106
cat__model_ss,0.000287089104372311,107
cat__type_wagon,0.0002857147174480495,108
cat__model_miata,0.0002854140551737793,109
cat__model_535i,0.00028360986863331533,110
cat__model_altima,0.0002754817264766593,111
cat__model_camry,0.00027521324174195817,112
cat__title_status_,0.00026409085377294023,113
cat__model_skyline,0.00025952754975539367,114
cat__manufacturer_kia,0.00025780356614038996,115
cat__model_Sonic,0.00025186916673395043,116
cat__model_mkc,0.0002493878767478092,117
cat__model_Suburban,0.0002470634111930769,118
cat__manufacturer_infiniti,0.0002420561674159394,119
cat__model_mx5,0.00023662809883968574,120
cat__manufacturer_jeep,0.00023620724407694016,121
cat__model_mdx,0.00023344500508237694,122
cat__manufacturer_honda,0.00020710671721231081,123
cat__model_forte,0.00020604659276158356,124
cat__model_mkx,0.00020105067269373083,125
cat__model_edge,0.00018847505152039105,126
cat__manufacturer_volvo,0.00018545862120447133,127
cat__model_optima,0.00018543712394158813,128
cat__model_Canyon,0.00018518011911254615,129
cat__model_ct200h,0.0001820305896486171,130
cat__model_xf,0.00018007670968789766,131
cat__manufacturer_mazda,0.00017934113032894744,132
cat__model_frontier,0.0001742053153746961,133
cat__model_romeo,0.00017198782232196233,134
cat__manufacturer_audi,0.00016960570853567588,135
cat__model_escape,0.00016767172380414814,136
cat__manufacturer_acura,0.0001673639005067918,137
cat__model_fuso,0.00016565135989254212,138
cat__model_titan,0.00015172404780063915,139
cat__model_qx70,0.00015069805128335807,140
cat__manufacturer_subaru,0.00014035947698003278,141
cat__model_soul,0.00014014857996838914,142
cat__model_Sierra 1500,0.00013999038227180928,143
cat__model_q60,0.0001334298598165349,144
cat__model_rogue,0.0001328408016074431,145
cat__type_convertible,0.00012466144410540667,146
cat__model_sx4,0.0001231675041068354,147
cat__model_200,0.0001223466127476245,148
cat__model_328i,0.00011794080563439657,149
cat__model_qx80,0.00011786718686148054,150
cat__model_750li,0.00011164303681798643,151
cat__model_ben bens bentz benz bends bennz,0.00011002044288170083,152
cat__model_X5,0.00010534304170547491,153
cat__model_Malibu,0.00010486815736792998,154
cat__model_q50,9.914190054975432e-05,155
cat__manufacturer_lincoln,9.867525234316278e-05,156
cat__model_Enclave,9.80364483086319e-05,157
cat__manufacturer_tesla,9.757649082227559e-05,158
cat__model_taurus,9.714215182796666e-05,159
cat__model_civic,8.849206728993426e-05,160
cat__manufacturer_jaguar,8.753251415667814e-05,161
cat__model_acty,8.613633400649431e-05,162
cat__model_corolla,8.439046729231216e-05,163
cat__model_f450,8.101696365005197e-05,164
cat__model_sorento,8.055007021409958e-05,165
cat__model_cx5,7.974027449976793e-05,166
cat__model_gx470,7.88401099482373e-05,167
cat__model_qx30,7.344428379986971e-05,168
cat__manufacturer_hyundai,7.307263309148761e-05,169
cat__fuel_,7.154256258896264e-05,170
cat__model_nx,6.846752547336037e-05,171
cat__model_fx35,6.559198743833783e-05,172
cat__model_jx35,6.298125169393667e-05,173
cat__manufacturer_chrysler,6.171648931855134e-05,174
cat__model_glk,5.9969497286980096e-05,175
cat__model_accord,5.4678402432358475e-05,176
cat__model_es,5.442605773919002e-05,177
cat__model_m35,5.398435630991932e-05,178
cat__model_yaris,5.287541674531145e-05,179
cat__model_maxima,4.910794475729357e-05,180
cat__model_firebird,4.602376512068629e-05,181
cat__model_caliber,4.4801341261029316e-05,182
cat__model_cls,4.4786931373572776e-05,183
cat__model_srx,4.303013254160349e-05,184
cat__model_nv200,4.226981586244439e-05,185
cat__model_3500,4.218029498485771e-05,186
cat__model_f750,4.193885921986707e-05,187
cat__model_5500,3.9879629793356655e-05,188
cat__model_mustang,3.767041225472534e-05,189
cat__model_xterra,3.610145467177912e-05,190
cat__model_Acadia,3.557793097777187e-05,191
cat__model_Terrain,3.435723805007136e-05,192
cat__model_gladiator,3.3593422854168125e-05,193
cat__fuel_hybrid,3.3405964751322026e-05,194
cat__model_liberty,3.319598059623355e-05,195
cat__model_continental,3.276456755343345e-05,196
cat__model_q5,3.1821301222616666e-05,197
cat__model_ssr,3.030613420637055e-05,198
cat__manufacturer_mini,2.9971095150463695e-05,199
cat__model_thunderbird,2.9104194941614315e-05,200
cat__model_clk320,2.8766483091354438e-05,201
cat__model_rio,2.6936665644808825e-05,202
cat__type_mini-van,2.686353549712823e-05,203
cat__model_a6,2.4701657124262562e-05,204
cat__model_sonata,2.409825495352496e-05,205
cat__model_Captiva,2.3917437327154093e-05,206
cat__model_durango,2.3428266543476984e-05,207
cat__model_fusion,2.207688654181296e-05,208
cat__model_kicks,2.1466944718931787e-05,209
cat__model_mkz,2.1415344553748347e-05,210
cat__model_prius,2.0316235421611503e-05,211
cat__manufacturer_buick,2.0301847353550927e-05,212
cat__model_qx60,1.91888975656535e-05,213
cat__model_xjr,1.8884595078152476e-05,214
cat__model_sts,1.681940329911878e-05,215
cat__model_navigator,1.6299264470525372e-05,216
cat__model_is,1.6211557244514846e-05,217
cat__model_pt,1.5872576773795926e-05,218
cat__model_ioniq,1.5145525723918114e-05,219
cat__manufacturer_mercury,1.4923002338949265e-05,220
cat__model_ranger,1.4871883377005826e-05,221
cat__model_rdx,1.4859162267403496e-05,222
cat__model_rx350,1.3344190130451303e-05,223
cat__model_nv2500,1.285405006392843e-05,224
cat__manufacturer_pontiac,1.257903540343214e-05,225
cat__model_avalon,1.243785597848306e-05,226
cat__model_solara,1.231384234072297e-05,227
cat__model_es350,1.228243180094937e-05,228
cat__model_LeSabre,1.1258515275438362e-05,229
cat__model_cooper,1.1046268425360446e-05,230
cat__model_quest,1.0911969548385458e-05,231
cat__manufacturer_rover,1.0081779223847973e-05,232
cat__title_status_lien,1.0002120793780301e-05,233
cat__model_qx,9.70811622933319e-06,234
cat__model_cobalt,8.962471373057101e-06,235
cat__manufacturer_volkswagen,8.486581578643003e-06,236
cat__model_patriot,8.255394149183635e-06,237
cat__model_jetta,8.112704339779844e-06,238
cat__model_Envoy,7.736522447615653e-06,239
cat__model_rav4,7.29264143057016e-06,240
cat__model_crosstrek,6.7321472621262215e-06,241
cat__model_boxster,6.446427060497988e-06,242
cat__model_Encore,6.321919433281808e-06,243
cat__type_offroad,6.176884377017998e-06,244
cat__model_bronco,6.131261745270009e-06,245
cat__model_promaster,6.1245835762151425e-06,246
cat__model_odyssey,6.10510225927182e-06,247
cat__model_X3,5.152624067268691e-06,248
cat__model_model,5.055755781732534e-06,249
cat__model_Impala,5.003668485665e-06,250
cat__model_300,4.873688085176492e-06,251
cat__fuel_electric,4.811382891275018e-06,252
cat__model_cts,4.654482487132465e-06,253
cat__model_veloster,4.206228059162506e-06,254
cat__model_passat,4.149146423048242e-06,255
cat__model_e320,3.996361614988143e-06,256
cat__model_expedition,3.98114655809365e-06,257
cat__model_elantra,3.8288780212812375e-06,258
cat__model_q70,3.822956872680324e-06,259
cat__model_capri,3.8088304008081766e-06,260
cat__model_Traverse,3.4409035816381996e-06,261
cat__model_accent,2.9813239460298075e-06,262
cat__model_q7,2.7319058950206942e-06,263
cat__model_a3,2.6327800490517884e-06,264
cat__model_sentra,2.5568674238818178e-06,265
cat__model_Verano,2.53365591439394e-06,266
cat__model_pilot,2.2847860366306197e-06,267
cat__model_lr4,2.225956702476443e-06,268
cat__model_xv,1.933172340524635e-06,269
cat__manufacturer_porsche,1.9088348397256753e-06,270
cat__model_TrailBlazer,1.8669276293846828e-06,271
cat__title_status_salvage,1.7444176519976646e-06,272
cat__model_300c,1.6215302229453711e-06,273
cat__model_journey,1.538382615845597e-06,274
cat__model_3 Series,1.1471217092554265e-06,275
cat__model_S10,1.0102703614413493e-06,276
cat__model_tl,8.943591938543524e-07,277
cat__model_g35,8.514198177271133e-07,278
cat__model_windstar,7.810362113046588e-07,279
cat__model_sl,7.723200744463455e-07,280
cat__model_LaCrosse,7.262170737044071e-07,281
cat__model_z4,6.142731491467341e-07,282
cat__model_crv,4.937259712175422e-07,283
cat__model_element,4.3098998574862653e-07,284
cat__model_Equinox,2.928469654468109e-07,285
cat__model_a4,2.384899951946376e-07,286
cat__model_forester,2.1144727594382099e-07,287
cat__model_santafe,1.6636656355072393e-07,288
cat__model_juke,1.5805036875795491e-07,289
cat__model_Regal,1.322395709824096e-07,290
cat__model_dakota,1.219750387663945e-07,291
cat__title_status_missing,1.1053256008560202e-07,292
cat__model_ridgeline,8.370959717155081e-08,293
cat__model_echo,7.161551147369347e-08,294
cat__model_sedona,3.255963194760491e-08,295
cat__model_entourage,2.6507930038138e-08,296
cat__model_genesis,1.9391139661894586e-08,297
cat__model_sportage,1.0272045285127677e-08,298
cat__model_Denali,8.830060741114063e-09,299
cat__model_sienna,8.179850026594291e-09,300
cat__model_sc430,7.804807157702625e-09,301
cat__condition_new,5.853568611373721e-09,302
cat__model_eclipse,5.408942694168426e-09,303
cat__model_challenger,3.2401678845720523e-09,304
cat__model_s80,1.1985816113992305e-09,305
cat__model_xt4,4.847131225712716e-10,306
cat__model_freestyle,0.0,307
cat__state_al,0.0,308
cat__model_rl,0.0,309
cat__model_qx4,0.0,310
cat__model_e350,0.0,311
cat__model_pacifica,0.0,312
cat__model_compass,0.0,313
cat__model_mazda3,0.0,314
cat__model_crosstour,0.0,315
cat__model_sport,0.0,316
cat__model_Safari,0.0,317
cat__model_spectra,0.0,318
cat__model_300m,0.0,319
cat__model_525i,0.0,320
cat__model_Cavalier,0.0,321
cat__model_baja,0.0,322
cat__model_xj,0.0,323
num__state_price_mean,0.0,324
