feature,importance,rank
num__odometer,3213,1
num__year,2811,2
num__odo_per_year,2509,3
num__manufacturer_price_mean,1389,4
num__state_price_mean,1388,5
num__age_odo_per_year,828,6
num__log_odometer,619,7
num__age,616,8
cat__fuel_diesel,404,9
cat__drive_4wd,348,10
cat__condition_,339,11
cat__drive_fwd,321,12
cat__type_,285,13
cat__fuel_gas,278,14
cat__type_sedan,275,15
cat__drive_rwd,271,16
cat__type_truck,264,17
cat__drive_,261,18
cat__condition_excellent,223,19
cat__type_pickup,216,20
cat__type_suv,198,21
cat__model_f-series,194,22
cat__model_Silverado,185,23
cat__condition_good,174,24
cat__model_wrangler,162,25
cat__transmission_automatic,155,26
cat__condition_like new,148,27
cat__manufacturer_ford,134,28
cat__model_land cruiser,130,29
cat__model_escape,126,30
cat__transmission_manual,123,31
cat__title_status_clean,118,32
cat__model_focus,112,33
cat__model_tundra,107,34
cat__model_Corvette,106,35
cat__manufacturer_lexus,104,36
cat__type_coupe,104,37
cat__state_ca,102,38
cat__model_fusion,102,39
cat__model_Equinox,98,40
cat__state_fl,97,41
cat__model_escalade,97,42
cat__type_van,95,43
cat__transmission_other,92,44
cat__model_Cruze,92,45
cat__manufacturer_bmw,91,46
cat__manufacturer_chevrolet,91,47
cat__manufacturer_mercedes-benz,90,48
cat__model_corolla,90,49
cat__model_Tahoe,90,50
num__age2,89,51
cat__model_4runner,86,52
cat__model_Sierra,86,53
cat__state_tx,83,54
cat__fuel_other,83,55
cat__model_Terrain,83,56
cat__model_2500,82,57
cat__model_tacoma,82,58
cat__model_1500,81,59
cat__condition_fair,81,60
cat__title_status_rebuilt,81,61
cat__model_fiesta,80,62
cat__model_super,79,63
cat__model_Suburban,76,64
cat__model_s,75,65
cat__model_Malibu,75,66
cat__model_3500,75,67
cat__model_Trax,74,68
cat__title_status_salvage,73,69
cat__model_versa,72,70
cat__model_compass,71,71
cat__model_Sonic,71,72
cat__type_other,70,73
cat__model_patriot,70,74
cat__manufacturer_dodge,70,75
cat__model_sentra,69,76
cat__model_c,69,77
cat__type_hatchback,69,78
cat__model_renegade,69,79
cat__type_convertible,68,80
cat__model_fj,68,81
cat__model_journey,65,82
cat__model_Yukon,65,83
cat__model_cherokee,64,84
cat__model_a4,64,85
cat__manufacturer_rover,63,86
cat__model_3 Series,62,87
cat__model_edge,62,88
cat__title_status_,62,89
cat__model_Acadia,61,90
cat__model_a3,61,91
cat__model_titan,60,92
cat__model_camry,59,93
cat__model_X1,58,94
cat__model_Spark,58,95
cat__manufacturer_jeep,58,96
cat__model_f350,58,97
cat__model_navigator,58,98
cat__model_soul,56,99
cat__model_rav4,56,100
cat__manufacturer_toyota,55,101
cat__model_f150,55,102
cat__model_grand,54,103
cat__state_nc,53,104
cat__model_911,53,105
cat__model_gla,53,106
cat__model_Impala,53,107
cat__model_ecosport,53,108
cat__model_armada,52,109
cat__model_cla,52,110
cat__model_f250,51,111
cat__model_dart,51,112
cat__model_jetta,51,113
cat__model_sequoia,50,114
cat__model_5500,50,115
cat__model_M3,50,116
cat__model_328i,49,117
cat__model_forte,49,118
cat__model_200,49,119
cat__model_Encore,48,120
cat__model_yaris,48,121
cat__model_q5,48,122
cat__model_expedition,48,123
cat__model_civic,48,124
cat__manufacturer_gmc,48,125
cat__model_discovery,47,126
cat__state_ok,47,127
cat__manufacturer_ram,47,128
cat__model_excursion,46,129
cat__fuel_electric,46,130
cat__manufacturer_lincoln,46,131
cat__manufacturer_volkswagen,45,132
cat__model_X3,45,133
cat__model_altima,44,134
cat__manufacturer_honda,44,135
cat__manufacturer_acura,44,136
cat__condition_salvage,44,137
cat__manufacturer_audi,43,138
cat__state_co,43,139
cat__state_or,43,140
cat__model_rio,43,141
cat__model_prius,43,142
cat__model_Enclave,42,143
cat__model_taurus,42,144
cat__model_wrx,42,145
cat__model_explorer,42,146
cat__model_X6,41,147
cat__model_a5,41,148
cat__model_pilot,40,149
cat__model_mirage,40,150
cat__model_challenger,40,151
cat__model_durango,40,152
cat__model_rogue,40,153
cat__model_lifted,40,154
cat__model_accent,40,155
cat__model_hrv,40,156
cat__model_is,40,157
cat__model_atlas,40,158
cat__model_mkc,39,159
cat__state_al,39,160
cat__model_evoque,39,161
cat__manufacturer_volvo,38,162
cat__model_4,38,163
cat__model_ridgeline,38,164
cat__model_sl,38,165
cat__model_avenger,38,166
cat__title_status_lien,38,167
cat__model_Canyon,38,168
cat__model_accord,37,169
cat__model_ranger,37,170
cat__model_ilx,37,171
cat__fuel_hybrid,37,172
cat__model_odyssey,37,173
cat__model_model,37,174
cat__model_elantra,37,175
cat__model_Colorado,37,176
cat__model_impreza,36,177
cat__model_a6,36,178
cat__model_sienna,36,179
cat__model_Aveo,36,180
cat__model_passat,36,181
cat__model_Avalanche,36,182
cat__model_fit,35,183
cat__manufacturer_fiat,35,184
cat__model_cobalt,35,185
cat__state_wa,35,186
cat__model_X5,35,187
cat__model_highlander,35,188
cat__model_370z,35,189
cat__manufacturer_cadillac,34,190
cat__state_nm,34,191
cat__manufacturer_mitsubishi,34,192
cat__model_gladiator,34,193
cat__model_legacy,34,194
cat__state_ia,33,195
cat__model_hhr,33,196
cat__model_avalon,33,197
cat__model_liberty,33,198
cat__title_status_missing,33,199
cat__model_ben bens bentz benz bends bennz,33,200
cat__model_7 Series,33,201
cat__model_sport,32,202
cat__model_f550,32,203
cat__model_Envoy,32,204
cat__model_pt,32,205
cat__model_Traverse,32,206
cat__model_glk,32,207
cat__model_crown victoria,32,208
cat__model_Camaro,32,209
cat__model_ats,31,210
cat__state_la,31,211
cat__model_pickup,30,212
cat__model_qx56,29,213
cat__model_f450,29,214
cat__model_TrailBlazer,27,215
cat__model_glc,27,216
cat__model_gx,27,217
cat__state_ak,27,218
cat__state_nj,27,219
cat__model_sportage,27,220
cat__state_sc,27,221
cat__model_gl,27,222
cat__model_q50,26,223
cat__state_ny,26,224
cat__state_az,26,225
cat__state_pa,26,226
cat__model_cooper,26,227
cat__model_maxima,26,228
cat__manufacturer_alfa-romeo,26,229
cat__model_mazda3,25,230
cat__state_sd,25,231
cat__model_Express,25,232
cat__state_me,25,233
cat__state_il,25,234
cat__model_genesis,25,235
cat__model_charger,25,236
cat__state_mi,24,237
cat__model_juke,24,238
cat__model_mkz,24,239
cat__model_caliber,23,240
cat__model_frontier,23,241
cat__type_bus,23,242
cat__state_tn,23,243
cat__model_boxster,22,244
cat__manufacturer_infiniti,22,245
cat__model_scion,22,246
cat__model_thunderbird,22,247
cat__model_500,22,248
cat__model_Savana,22,249
cat__model_ls,22,250
cat__model_xc90,22,251
cat__model_bronco,21,252
cat__model_nx,21,253
cat__model_pathfinder,21,254
cat__state_ga,21,255
cat__model_transit,21,256
cat__state_vt,21,257
cat__model_flex,21,258
cat__model_tiguan,21,259
cat__model_mustang,21,260
cat__model_gti,21,261
cat__type_offroad,20,262
cat__state_hi,20,263
cat__state_oh,20,264
cat__model_es,20,265
cat__model_new,20,266
cat__model_sebring,20,267
cat__manufacturer_hyundai,20,268
cat__model_leaf,20,269
cat__transmission_,20,270
cat__manufacturer_porsche,19,271
cat__manufacturer_pontiac,19,272
cat__model_Volt,19,273
cat__model_300,19,274
cat__model_element,19,275
cat__model_rdx,19,276
cat__model_350z,19,277
cat__model_veloster,19,278
cat__condition_new,19,279
cat__model_santafe,18,280
cat__model_forester,18,281
cat__state_id,18,282
cat__state_ky,18,283
cat__model_528i,17,284
cat__state_wv,17,285
cat__manufacturer_nissan,17,286
cat__model_rx,16,287
cat__model_econoline,16,288
cat__model_g6,16,289
cat__model_S10,16,290
cat__model_4 Series,16,291
cat__model_mdx,16,292
cat__model_pacifica,16,293
cat__model_xc60,15,294
cat__model_promaster,15,295
cat__model_cx5,15,296
cat__model_q7,15,297
cat__model_sonata,15,298
cat__manufacturer_kia,15,299
cat__model_continental,15,300
cat__state_ar,15,301
cat__model_crosstrek,15,302
cat__model_matrix,15,303
cat__model_outlander,14,304
cat__state_in,14,305
cat__state_ks,14,306
cat__state_ma,14,307
cat__model_deville,13,308
cat__model_nitro,13,309
cat__model_srx,13,310
cat__manufacturer_subaru,13,311
cat__state_md,13,312
cat__manufacturer_chrysler,13,313
cat__model_caravan,12,314
cat__model_Blazer,12,315
cat__manufacturer_jaguar,12,316
cat__type_wagon,12,317
cat__model_g,12,318
cat__manufacturer_saturn,11,319
cat__fuel_,11,320
cat__model_murano,11,321
cat__model_crv,11,322
cat__model_Verano,10,323
cat__model_optima,10,324
cat__state_va,10,325
cat__type_mini-van,10,326
cat__model_rx350,10,327
cat__model_s60,10,328
cat__model_z3,10,329
cat__model_qx60,10,330
cat__model_venza,9,331
cat__model_beetle,9,332
cat__state_mn,9,333
cat__state_mo,9,334
cat__model_mazda5,9,335
cat__state_nv,9,336
cat__manufacturer_buick,9,337
cat__state_ct,8,338
cat__model_romeo,8,339
cat__model_e,8,340
cat__model_solara,8,341
cat__model_s5,8,342
cat__state_de,7,343
cat__model_tlx,7,344
cat__model_e250,7,345
cat__state_wi,6,346
cat__state_ri,6,347
cat__state_mt,6,348
cat__state_ut,5,349
cat__model_vue,5,350
cat__model_335i,5,351
cat__model_Century,5,352
cat__model_Rendezvous,4,353
cat__model_xterra,4,354
cat__state_dc,4,355
cat__model_cts,4,356
cat__model_quest,4,357
cat__manufacturer_tesla,4,358
cat__model_LeSabre,3,359
cat__model_mazda6,3,360
cat__model_lancer,3,361
cat__model_xv,3,362
cat__model_m,3,363
cat__state_ne,2,364
cat__state_nh,2,365
cat__manufacturer_mini,2,366
cat__model_xf,2,367
cat__model_golf,2,368
cat__model_325i,2,369
cat__manufacturer_mazda,2,370
cat__model_gs,1,371
cat__model_e350,1,372
cat__model_5 Series,1,373
cat__model_miata,1,374
cat__model_sprinter,1,375
cat__model_928,0,376
cat__model_928s,0,377
cat__model_940,0,378
cat__model_944,0,379
cat__model_960,0,380
cat__model_968,0,381
cat__model_986,0,382
cat__model_Alpina,0,383
cat__model_Altec,0,384
cat__model_Astro,0,385
cat__model_Astro Van,0,386
cat__model_Brigadier,0,387
cat__model_Bus,0,388
cat__model_C10,0,389
cat__model_C1500,0,390
cat__model_C20,0,391
cat__model_C2500,0,392
cat__model_C35,0,393
cat__model_C3500,0,394
cat__model_C4500,0,395
cat__model_C5500,0,396
cat__model_C6500,0,397
cat__model_C7000,0,398
cat__model_C7500,0,399
cat__model_C8500,0,400
cat__model_CI (Unknown),0,401
cat__model_CXL,0,402
cat__model_Caballero,0,403
cat__model_Camaro 1LT,0,404
cat__model_Caprice,0,405
cat__model_Captiva,0,406
cat__model_Cargo Truck,0,407
cat__model_Cascada,0,408
cat__model_Cavalier,0,409
cat__model_Corvette Stingray,0,410
cat__model_Delivery Truck,0,411
cat__model_Denali,0,412
cat__model_Dump Truck,0,413
cat__model_Duramax,0,414
cat__model_E30,0,415
cat__model_E39,0,416
cat__model_E90,0,417
cat__model_Envision,0,418
cat__model_Flatbed,0,419
cat__model_G20,0,420
cat__model_G2500,0,421
cat__model_G30,0,422
cat__model_G3500,0,423
cat__model_GMT Platform,0,424
cat__model_GN,0,425
cat__model_Geo (Chevy Geo Era),0,426
cat__model_Gladiator (Coachbuilder),0,427
cat__model_Grand National,0,428
cat__model_Jimmy,0,429
cat__model_K10,0,430
cat__model_K1500,0,431
cat__model_K2500,0,432
cat__model_K30,0,433
cat__model_K3500,0,434
cat__model_K5 Blazer,0,435
cat__model_Kodiak,0,436
cat__model_LaCrosse,0,437
cat__model_Lifted Truck,0,438
cat__model_Long Bed,0,439
cat__model_Lucerne,0,440
cat__model_Lumina,0,441
cat__model_M Series,0,442
cat__model_M2,0,443
cat__model_M3CIC,0,444
cat__model_M4,0,445
cat__model_M5,0,446
cat__model_M6,0,447
cat__model_New Model,0,448
cat__model_P30,0,449
cat__model_Park Avenue,0,450
cat__model_Pickup,0,451
cat__model_Prizm,0,452
cat__model_R1200RT,0,453
cat__model_Rainier,0,454
cat__model_Reatta,0,455
cat__model_Regal,0,456
cat__model_Riviera,0,457
cat__model_Roadmaster,0,458
cat__model_S15,0,459
cat__model_Safari,0,460
cat__model_Sand Rail,0,461
cat__model_School Bus,0,462
cat__model_Sierra 1500,0,463
cat__model_Sierra 2500,0,464
cat__model_Sierra 2500 HD,0,465
cat__model_Sierra 3500,0,466
cat__model_Silverado 1500,0,467
cat__model_Skylark,0,468
cat__model_Sonoma,0,469
cat__model_Sportside,0,470
cat__model_Step Van,0,471
cat__model_540i,0,472
cat__model_TopKick,0,473
cat__model_TopKick C4500,0,474
cat__model_TopKick C5500,0,475
cat__model_TopKick C6500,0,476
cat__model_TopKick T7500,0,477
cat__model_Tracker,0,478
cat__model_Typhoon,0,479
cat__model_Uplander,0,480
cat__model_Van,0,481
cat__model_Vandura,0,482
cat__model_Venture,0,483
cat__model_W4,0,484
cat__model_W4500,0,485
cat__model_W5500,0,486
cat__model_X Series,0,487
cat__model_X2,0,488
cat__model_X4,0,489
cat__model_X5M,0,490
cat__model_Z28,0,491
cat__model_Z3,0,492
cat__model_Z71,0,493
cat__model_ZR2,0,494
cat__model_a,0,495
cat__model_a7,0,496
cat__model_a8,0,497
cat__model_a8l,0,498
cat__model_acadia,0,499
cat__model_acty,0,500
cat__model_aero,0,501
cat__model_all,0,502
cat__model_allante,0,503
