feature,importance,rank
num__manufacturer_price_mean,0.019016296,1
num__year,0.018933529,2
cat__fuel_diesel,0.017392622,3
cat__model_wrangler,0.012340887,4
num__age,0.01068195,5
cat__model_focus,0.010596117,6
cat__drive_fwd,0.01027383,7
cat__model_Corvette,0.009581571,8
cat__model_escape,0.0095169945,9
cat__model_patriot,0.008698898,10
cat__drive_4wd,0.008692632,11
cat__model_Cruze,0.007989025,12
cat__model_escalade,0.007784223,13
cat__model_Silverado,0.0070615043,14
cat__model_fiesta,0.007055623,15
cat__model_tacoma,0.0065401597,16
cat__manufacturer_lexus,0.006412568,17
cat__model_fusion,0.006260941,18
cat__model_eurovan,0.0061771027,19
cat__model_Equinox,0.005944603,20
cat__model_f-series,0.005826187,21
cat__condition_fair,0.005755411,22
cat__model_tundra,0.0056882985,23
cat__model_fj,0.005686704,24
cat__model_911,0.0054560904,25
num__age_odo_per_year,0.0053794147,26
cat__model_compass,0.005284048,27
cat__type_pickup,0.0052322014,28
cat__model_Tahoe,0.005194458,29
cat__model_Terrain,0.005132958,30
cat__model_cobalt,0.004906406,31
cat__model_liberty,0.0047799787,32
cat__model_M3,0.0047519747,33
cat__model_challenger,0.004604208,34
cat__model_Trax,0.0045364723,35
cat__manufacturer_honda,0.004462059,36
cat__model_taurus,0.0044170395,37
cat__model_vanagon,0.0043350672,38
cat__model_Aveo,0.0042858697,39
cat__model_hhr,0.0042381897,40
cat__model_land cruiser,0.0042165467,41
cat__model_4runner,0.004189994,42
num__odometer,0.0041533406,43
cat__type_truck,0.0041157603,44
cat__model_explorer,0.004072436,45
cat__model_versa,0.004065293,46
cat__model_crown victoria,0.0039706775,47
cat__model_titan,0.0038867895,48
cat__model_renegade,0.003844927,49
cat__model_TrailBlazer,0.0037574975,50
cat__condition_salvage,0.0037462148,51
cat__model_a4,0.0037454183,52
cat__model_Malibu,0.0037227715,53
cat__model_yaris,0.0036787621,54
cat__model_accent,0.0036631597,55
cat__type_sedan,0.0036540357,56
cat__model_Yukon,0.0036209384,57
cat__model_Envoy,0.0035237852,58
cat__model_sentra,0.003513903,59
cat__model_corolla,0.0035016858,60
cat__model_Suburban,0.0034399952,61
cat__model_Sonic,0.0034361398,62
cat__model_Sierra,0.0034263118,63
cat__model_Enclave,0.0033546288,64
cat__manufacturer_toyota,0.0033493135,65
cat__model_armada,0.0032939485,66
cat__manufacturer_ford,0.0031411415,67
cat__model_Impala,0.0030866142,68
cat__model_s,0.0029199438,69
cat__model_avenger,0.0029134469,70
cat__model_grand,0.0029040603,71
cat__model_Acadia,0.0028749949,72
cat__manufacturer_volkswagen,0.0028736207,73
cat__model_ecosport,0.002855401,74
cat__model_excursion,0.0028209973,75
cat__model_cherokee,0.0028197595,76
cat__model_elantra,0.002796089,77
cat__model_lx,0.002777423,78
cat__model_freestar,0.0027716544,79
cat__model_super,0.0027656003,80
cat__model_dart,0.0027580503,81
cat__model_camry,0.002735373,82
cat__model_mirage,0.0027331524,83
cat__model_sequoia,0.0027163397,84
cat__manufacturer_fiat,0.0027123222,85
cat__model_Spark,0.002709461,86
cat__model_skyline,0.0027083585,87
cat__manufacturer_jeep,0.002621046,88
cat__model_wrx,0.0026086601,89
cat__model_Avalanche,0.0025845345,90
cat__model_pt,0.0025821752,91
cat__drive_rwd,0.0025662987,92
cat__model_S10,0.0025474417,93
cat__model_frontier,0.0025463528,94
cat__model_TopKick C5500,0.002523147,95
cat__model_M5,0.0024956434,96
cat__model_gx,0.0024854774,97
cat__model_journey,0.0024828147,98
cat__model_X6,0.0024781134,99
cat__model_rav4,0.0024678318,100
cat__model_g8,0.002438904,101
cat__model_1500,0.0024265111,102
cat__manufacturer_kia,0.0024057138,103
cat__model_rio,0.0023595432,104
cat__manufacturer_chevrolet,0.0023381282,105
cat__fuel_gas,0.0023245467,106
cat__model_Cavalier,0.0023208829,107
cat__model_viper,0.0022882377,108
cat__model_s2000,0.0022738439,109
cat__model_f550,0.00221705,110
cat__model_soul,0.0021944123,111
cat__model_370z,0.002186762,112
cat__model_durango,0.0021830539,113
cat__manufacturer_volvo,0.0021604737,114
cat__model_highlander,0.002158401,115
cat__model_c,0.0021369031,116
cat__model_chassis,0.0021237943,117
cat__type_suv,0.0020702386,118
cat__model_f150,0.0020640849,119
cat__model_gto,0.0020594446,120
cat__model_deville,0.0020560191,121
cat__model_200,0.0020406719,122
cat__model_windstar,0.0020391867,123
cat__manufacturer_porsche,0.002027387,124
cat__drive_,0.0020273016,125
cat__model_pilot,0.0020262112,126
cat__model_gmt,0.002016117,127
cat__model_rampage,0.0020067894,128
cat__model_ridgeline,0.0020049568,129
cat__model_freestyle,0.0019742185,130
cat__model_g,0.0019684064,131
cat__model_7 Series,0.00196199,132
cat__title_status_missing,0.00195757,133
cat__manufacturer_acura,0.0019564077,134
cat__model_3 Series,0.0019384691,135
cat__model_350z,0.0019325139,136
cat__model_qx80,0.0019222756,137
cat__model_atlas,0.0019187491,138
cat__model_jetta,0.0018571983,139
cat__model_Uplander,0.0018452551,140
cat__manufacturer_ferrari,0.0018343271,141
cat__title_status_parts only,0.0018043347,142
cat__model_lancer,0.00179752,143
cat__model_328i,0.0017952357,144
cat__model_sienna,0.0017865311,145
cat__model_ranger,0.0017801722,146
cat__model_firebird,0.0017761474,147
cat__model_maxima,0.0017734778,148
cat__model_fit,0.0017646531,149
cat__model_560,0.0017331373,150
cat__model_f350,0.0017326003,151
cat__manufacturer_mitsubishi,0.0017278905,152
cat__model_M4,0.0017228979,153
cat__model_sport,0.0017186559,154
cat__model_f250,0.0017141087,155
cat__model_element,0.0017070273,156
cat__model_forte,0.0017024522,157
cat__model_nsx,0.0016995026,158
cat__model_chr,0.0016905884,159
cat__model_sl,0.0016887151,160
cat__title_status_lien,0.0016797985,161
cat__model_Express,0.0016753145,162
cat__fuel_hybrid,0.0016665215,163
cat__model_impreza,0.00166245,164
cat__model_ssr,0.0016375376,165
cat__model_accord,0.0016342498,166
cat__model_caliber,0.0016239928,167
cat__model_cls,0.0016196411,168
cat__model_odyssey,0.0016126147,169
cat__model_escort,0.0016124246,170
cat__model_Traverse,0.0016012406,171
cat__model_3500,0.0015989097,172
cat__model_c-max,0.001590981,173
cat__model_gx470,0.0015886221,174
cat__model_944,0.0015866796,175
cat__model_gt,0.0015816683,176
cat__model_es350,0.0015786709,177
cat__model_expedition,0.001577289,178
cat__model_edge,0.0015675437,179
cat__model_r8,0.0015659647,180
cat__model_tsx,0.001549694,181
cat__model_2500,0.0015493517,182
cat__model_leaf,0.0015470184,183
